	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CDK5R2	42.458	0.5	0.19	2.632	0.009	0.024
CDK5RAP1	1093.817	-0.116	0.066	-1.77	0.077	0.152
CDK5RAP2	2954.686	-0.004	0.052	-0.07	0.944	0.966
CDK5RAP3	1514.997	-0.192	0.072	-2.668	0.008	0.022
CDK6	3389.373	0.167	0.056	2.976	0.003	0.01
CDK7	236.031	0.033	0.112	0.29	0.772	0.852
CDK8	565.195	0.246	0.079	3.111	0.002	0.007
CDK9	1020.992	0.307	0.075	4.068	0.0	0.0
CDKAL1	767.171	-0.129	0.075	-1.728	0.084	0.163
CDKL1	78.11	0.525	0.162	3.243	0.001	0.004
CDKL2	211.408	-0.126	0.115	-1.1	0.271	0.405
CDKL3	146.449	0.129	0.132	0.978	0.328	0.468
CDKL4	2.572	-0.155	0.138	-1.127	0.26	0.392
CDKL5	187.569	0.472	0.125	3.785	0.0	0.001
CDKN1A	2752.393	0.8	0.061	13.05	0.0	0.0
CDKN1B	1758.181	-0.123	0.067	-1.827	0.068	0.137
CDKN1C	123.963	0.486	0.142	3.427	0.001	0.002
CDKN2A	1563.9	-0.097	0.066	-1.474	0.141	0.246
CDKN2AIP	893.041	0.405	0.072	5.592	0.0	0.0
CDKN2AIPNL	1272.4	-0.05	0.066	-0.758	0.449	0.589
CDKN2B	795.581	0.357	0.086	4.158	0.0	0.0
CDKN2B-AS1	110.149	-0.043	0.152	-0.28	0.779	0.857
CDKN2C	1631.752	-0.084	0.057	-1.46	0.144	0.251
CDKN2D	285.832	0.103	0.102	1.013	0.311	0.449
CDKN3	726.801	0.139	0.072	1.918	0.055	0.116
CDNF	61.954	0.226	0.175	1.293	0.196	0.318
CDO1	448.277	0.282	0.09	3.14	0.002	0.006
CDON	1150.059	-0.035	0.064	-0.548	0.584	0.707
CDR1	0.0					
CDR2	973.266	0.105	0.068	1.552	0.121	0.218
CDR2L	867.974	-0.007	0.074	-0.1	0.921	0.952
CDRT1	8.819	0.037	0.195	0.192	0.848	0.902
CDRT15	0.0					
CDRT15L2	0.0					
CDRT15P1	0.104	0.009	0.042	0.226	0.821	
CDRT15P2	0.111	-0.01	0.042	-0.246	0.806	
CDRT4	0.08	0.0	0.042	0.0	1.0	
CDRT7	0.0					
CDS1	903.908	-0.023	0.07	-0.331	0.74	0.829
CDS2	1636.629	0.147	0.056	2.635	0.008	0.024
CDSN	1.263	-0.154	0.1	-1.536	0.125	
CDT1	2197.929	0.119	0.068	1.734	0.083	0.161
CDV3	8075.371	-0.003	0.044	-0.076	0.939	0.964
CDX1	0.234	-0.001	0.049	-0.012	0.991	
CDX2	645.842	-0.302	0.084	-3.601	0.0	0.001
CDX4	0.08	0.0	0.042	0.0	1.0	
CDY1	0.0					
CDY1B	0.0					
CDY2A	0.0					
CDY2B	0.0					
CDYL	1425.703	0.045	0.058	0.776	0.438	0.579
CDYL2	90.673	0.587	0.155	3.777	0.0	0.001
CEACAM1	4.227	0.099	0.164	0.6	0.548	0.678
CEACAM16	0.0					
CEACAM18	0.0					
CEACAM19	92.525	0.184	0.166	1.106	0.269	0.402
CEACAM20	6.183	-0.118	0.179	-0.656	0.512	0.646
CEACAM21	1.354	-0.087	0.11	-0.791	0.429	
CEACAM22P	22.238	-0.089	0.208	-0.427	0.669	0.775
CEACAM3	0.0					
CEACAM4	0.0					
CEACAM5	1.409	-0.055	0.107	-0.516	0.606	
CEACAM6	0.494	-0.044	0.062	-0.712	0.476	
CEACAM7	0.488	-0.077	0.068	-1.129	0.259	
CEACAM8	0.08	0.0	0.042	0.0	1.0	
CEBPA	495.199	0.022	0.094	0.239	0.811	0.877
CEBPB	696.848	0.194	0.079	2.462	0.014	0.037
CEBPD	87.523	0.425	0.161	2.645	0.008	0.024
CEBPE	0.412	-0.044	0.062	-0.717	0.473	
CEBPG	3238.584	0.517	0.051	10.093	0.0	0.0
CEBPZ	3037.218	0.038	0.051	0.738	0.46	0.6
CECR1	1.254	0.074	0.103	0.715	0.475	
CECR2	898.319	0.2	0.071	2.819	0.005	0.015
CECR3	0.279	-0.001	0.052	-0.013	0.99	
CECR5	1531.854	-0.224	0.064	-3.495	0.0	0.002
CECR5-AS1	9.58	0.16	0.198	0.811	0.417	0.559
CECR6	97.883	0.473	0.152	3.107	0.002	0.007
CECR7	3.229	-0.063	0.146	-0.431	0.666	0.774
CEL	65.742	0.034	0.175	0.194	0.847	0.901
CELA1	0.0					
CELA2A	1.407	-0.134	0.109	-1.227	0.22	
CELA2B	0.475	-0.047	0.065	-0.728	0.467	
CELA3A	0.605	0.005	0.065	0.071	0.944	
CELA3B	0.325	0.016	0.055	0.296	0.767	
CELF1	5979.047	-0.174	0.043	-4.092	0.0	0.0
CELF2	2768.618	-0.492	0.053	-9.223	0.0	0.0
CELF3	21.261	0.896	0.207	4.326	0.0	0.0
CELF4	94.007	0.576	0.154	3.731	0.0	0.001
CELF5	114.181	0.193	0.141	1.373	0.17	0.285
CELF6	13.471	0.375	0.206	1.821	0.069	0.138
CELP	0.191	0.011	0.046	0.245	0.806	
CELSR1	1017.976	0.288	0.068	4.245	0.0	0.0
CELSR2	1431.01	0.304	0.069	4.415	0.0	0.0
CELSR3	359.469	-0.046	0.109	-0.419	0.675	0.78
CEMP1	0.538	0.025	0.067	0.379	0.705	
CEND1	4.193	-0.385	0.158	-2.437	0.015	0.039
CENPA	729.725	-0.047	0.08	-0.59	0.555	0.684
CENPB	1552.72	-0.32	0.068	-4.696	0.0	0.0
CENPBD1	482.606	-0.275	0.087	-3.174	0.002	0.005
CENPC1	445.532	0.316	0.095	3.327	0.001	0.003
CENPE	3065.231	0.133	0.07	1.896	0.058	0.121
CENPF	7381.108	0.052	0.062	0.838	0.402	0.544
CENPH	2024.41	-0.077	0.054	-1.423	0.155	0.265
CENPI	1056.38	-0.418	0.071	-5.868	0.0	0.0
CENPJ	1119.481	0.056	0.076	0.738	0.461	0.6
CENPK	985.705	0.256	0.07	3.649	0.0	0.001
CENPL	644.851	0.077	0.08	0.967	0.334	0.474
CENPM	509.818	-0.341	0.088	-3.875	0.0	0.001
CENPN	1412.061	-0.298	0.068	-4.385	0.0	0.0
CENPO	1431.411	-0.123	0.06	-2.058	0.04	0.088
CENPP	375.188	0.114	0.093	1.221	0.222	0.349
CENPQ	842.425	0.577	0.073	7.866	0.0	0.0
CENPT	717.562	-0.197	0.081	-2.433	0.015	0.039
CENPV	1892.778	-0.25	0.058	-4.287	0.0	0.0
CENPVL1	0.0					
CENPW	790.766	0.342	0.076	4.517	0.0	0.0
CEP104	1886.586	-0.345	0.055	-6.317	0.0	0.0
CEP112	386.419	0.176	0.1	1.764	0.078	0.154
CEP120	1305.694	0.096	0.064	1.494	0.135	0.239
CEP128	562.054	0.067	0.085	0.795	0.427	0.567
CEP135	1680.134	-0.242	0.061	-3.998	0.0	0.0
CEP152	792.741	0.221	0.08	2.753	0.006	0.018
CEP164	1070.824	-0.178	0.07	-2.545	0.011	0.03
CEP170	2316.504	0.207	0.065	3.195	0.001	0.005
CEP170P1	0.979	0.015	0.087	0.168	0.867	
CEP19	275.018	-0.171	0.108	-1.575	0.115	0.21
CEP192	1131.545	-0.16	0.069	-2.309	0.021	0.052
CEP250	1731.949	-0.036	0.059	-0.607	0.544	0.674
CEP290	1963.594	0.069	0.075	0.917	0.359	0.5
CEP350	2170.1	0.064	0.063	1.009	0.313	0.451
CEP41	732.761	-0.249	0.077	-3.218	0.001	0.005
CEP44	1004.206	0.558	0.071	7.911	0.0	0.0
CEP55	1876.071	-0.059	0.065	-0.906	0.365	0.506
CEP57	2016.331	-0.16	0.06	-2.678	0.007	0.022
CEP57L1	631.21	0.364	0.091	3.983	0.0	0.0
CEP63	837.315	0.192	0.07	2.724	0.006	0.019
CEP68	920.083	-0.032	0.067	-0.476	0.634	0.749
CEP70	778.425	0.286	0.08	3.586	0.0	0.001
CEP72	671.054	-0.031	0.076	-0.408	0.683	0.786
CEP76	391.724	-0.089	0.095	-0.936	0.349	0.491
CEP78	979.238	-0.096	0.076	-1.256	0.209	0.334
CEP85	2552.907	-0.215	0.05	-4.325	0.0	0.0
CEP85L	788.856	0.11	0.09	1.22	0.222	0.349
CEP89	233.212	0.027	0.111	0.248	0.804	0.873
CEP95	1907.177	0.07	0.061	1.15	0.25	0.382
CEP97	1072.619	0.151	0.072	2.108	0.035	0.08
CEPT1	1213.123	0.235	0.064	3.668	0.0	0.001
CER1	0.271	-0.001	0.052	-0.012	0.99	
CERCAM	744.302	-0.029	0.081	-0.354	0.723	0.815
CERK	2190.939	-0.582	0.055	-10.606	0.0	0.0
CERKL	18.445	0.289	0.208	1.391	0.164	0.278
CERS1	162.605	-0.149	0.131	-1.141	0.254	0.385
CERS2	4773.242	-0.315	0.045	-7.018	0.0	0.0
CERS3	2.392	-0.021	0.135	-0.153	0.879	
CERS4	273.405	0.263	0.109	2.408	0.016	0.042
CERS5	626.295	-0.028	0.075	-0.378	0.705	0.801
CERS6	3514.477	-0.366	0.05	-7.353	0.0	0.0
CES1	0.0					
CES1P1	0.0					
CES1P2	0.0					
CES2	1102.208	-0.33	0.078	-4.257	0.0	0.0
CES3	480.992	-0.331	0.087	-3.815	0.0	0.001
CES4A	0.946	0.065	0.09	0.714	0.475	
CES5A	0.191	0.011	0.046	0.245	0.806	
CES5AP1	0.691	0.036	0.075	0.487	0.627	
CETN1	0.0					
CETN2	861.895	-0.568	0.072	-7.894	0.0	0.0
CETN3	997.961	0.325	0.074	4.395	0.0	0.0
CETN4P	40.391	0.281	0.195	1.441	0.149	0.258
CETP	0.761	-0.065	0.078	-0.836	0.403	
CFB	5.229	0.197	0.171	1.148	0.251	0.383
CFC1	0.0					
CFC1B	0.0					
CFD	119.302	-0.104	0.147	-0.707	0.479	0.617
CFDP1	1372.326	0.213	0.061	3.488	0.0	0.002
CFH	7.552	0.032	0.188	0.172	0.864	0.914
CFHR1	5.853	-0.029	0.181	-0.161	0.872	0.92
CFHR2	0.0					
CFHR3	15.839	0.519	0.208	2.502	0.012	0.033
CFHR4	3.002	-0.055	0.144	-0.381	0.704	0.8
CFHR5	0.359	-0.001	0.06	-0.014	0.988	
CFI	13.827	-0.304	0.206	-1.477	0.14	0.245
CFL1	9860.627	-0.433	0.072	-5.996	0.0	0.0
CFL1P1	27.038	-0.017	0.203	-0.086	0.932	0.959
CFL2	3347.925	-0.079	0.059	-1.349	0.177	0.295
CFLAR	785.115	0.141	0.073	1.937	0.053	0.112
CFLAR-AS1	0.539	0.023	0.069	0.334	0.739	
CFP	14.756	-0.233	0.207	-1.127	0.26	0.392
CFTR	2.078	-0.114	0.126	-0.903	0.367	
CG030	42.958	0.562	0.189	2.982	0.003	0.01
CGA	105.544	-0.316	0.158	-2.005	0.045	0.098
CGB	0.0					
CGB1	1.328	-0.023	0.105	-0.217	0.828	
CGB2	0.0					
CGB5	0.984	0.04	0.092	0.431	0.667	
CGB7	3.462	0.051	0.152	0.336	0.737	0.826
CGB8	0.241	-0.028	0.05	-0.571	0.568	
CGGBP1	6774.747	0.121	0.056	2.17	0.03	0.07
CGN	757.905	0.209	0.076	2.739	0.006	0.018
CGNL1	382.453	0.328	0.093	3.539	0.0	0.002
CGREF1	6.944	0.031	0.187	0.167	0.867	0.916
CGRRF1	420.226	0.123	0.089	1.372	0.17	0.285
CH25H	1.09	-0.049	0.097	-0.512	0.609	
CHAC1	324.32	0.883	0.107	8.236	0.0	0.0
CHAC2	536.698	0.382	0.086	4.432	0.0	0.0
CHAD	0.104	0.009	0.042	0.226	0.821	
CHADL	1.521	-0.063	0.113	-0.558	0.577	
CHAF1A	3400.732	-0.234	0.053	-4.449	0.0	0.0
CHAF1B	1315.409	-0.464	0.061	-7.612	0.0	0.0
CHAMP1	1436.418	-0.473	0.06	-7.837	0.0	0.0
CHAT	0.134	0.0	0.042	0.0	1.0	
CHCHD1	897.812	-0.036	0.068	-0.529	0.597	0.718
CHCHD10	1245.793	0.067	0.069	0.98	0.327	0.467
CHCHD2	3594.459	-0.034	0.064	-0.53	0.596	0.717
CHCHD3	1452.224	-0.082	0.058	-1.401	0.161	0.274
CHCHD4	841.412	-0.115	0.072	-1.596	0.111	0.203
CHCHD5	272.003	-0.139	0.109	-1.281	0.2	0.323
CHCHD6	428.093	-0.002	0.094	-0.024	0.981	0.989
CHCHD7	652.414	0.062	0.079	0.782	0.434	0.576
CHCHD8	1297.395	-0.217	0.066	-3.267	0.001	0.004
CHD1	4895.569	0.105	0.064	1.641	0.101	0.189
CHD1L	2701.561	-0.027	0.051	-0.521	0.602	0.722
CHD2	5951.391	0.155	0.058	2.674	0.007	0.022
CHD3	4295.715	-0.067	0.048	-1.401	0.161	0.274
CHD4	10579.499	-0.266	0.047	-5.721	0.0	0.0
CHD5	87.357	-0.013	0.162	-0.081	0.936	0.961
CHD6	2262.154	0.3	0.06	4.961	0.0	0.0
CHD7	1913.02	0.179	0.062	2.865	0.004	0.013
CHD8	4847.412	-0.055	0.05	-1.092	0.275	0.409
CHD9	1611.166	0.397	0.073	5.464	0.0	0.0
CHDH	396.393	-0.01	0.096	-0.103	0.918	0.95
CHEK1	2441.136	0.091	0.055	1.665	0.096	0.182
CHEK2	949.251	-0.113	0.067	-1.689	0.091	0.174
CHEK2P2	0.241	-0.028	0.05	-0.571	0.568	
CHERP	3133.267	-0.326	0.063	-5.214	0.0	0.0
CHFR	652.987	0.291	0.076	3.844	0.0	0.001
CHGA	20.134	0.435	0.208	2.094	0.036	0.082
CHGB	84.897	0.717	0.163	4.41	0.0	0.0
CHI3L1	0.104	0.009	0.042	0.226	0.821	
CHI3L2	1.185	-0.03	0.102	-0.293	0.769	
CHIA	0.0					
CHIC1	593.204	0.175	0.083	2.111	0.035	0.08
CHIC2	351.365	0.258	0.098	2.623	0.009	0.025
CHID1	1129.225	-0.081	0.069	-1.171	0.242	0.372
CHIT1	0.0					
CHKA	680.138	-0.1	0.077	-1.306	0.192	0.312
CHKB	39.856	-0.316	0.192	-1.646	0.1	0.188
CHKB-CPT1B	0.728	-0.022	0.074	-0.293	0.77	
CHL1	0.375	-0.042	0.06	-0.7	0.484	
CHM	1328.973	-0.418	0.061	-6.83	0.0	0.0
CHML	4664.948	-0.081	0.066	-1.227	0.22	0.346
CHMP1A	1255.651	-0.477	0.069	-6.872	0.0	0.0
CHMP1B	1511.824	0.175	0.059	2.961	0.003	0.01
CHMP2A	1501.756	0.032	0.062	0.518	0.605	0.724
CHMP2B	2991.169	-0.055	0.063	-0.876	0.381	0.522
CHMP3	62.03	-0.224	0.178	-1.254	0.21	0.335
CHMP4A	610.507	-0.307	0.08	-3.809	0.0	0.001
CHMP4B	1853.928	-0.328	0.056	-5.855	0.0	0.0
CHMP4C	131.469	0.241	0.136	1.771	0.077	0.152
CHMP5	896.15	0.056	0.087	0.643	0.52	0.653
CHMP6	614.456	-0.518	0.079	-6.514	0.0	0.0
CHMP7	1165.866	-0.15	0.064	-2.336	0.02	0.049
CHN1	1205.371	-0.208	0.061	-3.414	0.001	0.003
CHN2	269.821	-0.01	0.11	-0.095	0.925	0.955
CHODL	57.471	0.112	0.177	0.632	0.528	0.66
CHODL-AS1	0.0					
CHORDC1	1558.951	-0.034	0.085	-0.398	0.691	0.792
CHP	1592.0	-0.463	0.06	-7.715	0.0	0.0
CHP2	18.818	0.543	0.208	2.611	0.009	0.026
CHPF	819.467	0.145	0.077	1.881	0.06	0.124
CHPF2	1525.991	-0.354	0.061	-5.799	0.0	0.0
CHPT1	1612.615	-0.106	0.061	-1.738	0.082	0.161
CHRAC1	1460.165	-0.252	0.061	-4.148	0.0	0.0
CHRD	119.126	0.772	0.143	5.393	0.0	0.0
CHRDL1	148.813	0.177	0.134	1.315	0.189	0.309
CHRDL2	1.406	0.05	0.105	0.477	0.633	
CHRFAM7A	65.135	0.239	0.173	1.382	0.167	0.282
CHRM1	0.241	-0.028	0.05	-0.571	0.568	
CHRM2	0.0					
CHRM3	53.075	0.025	0.181	0.139	0.89	0.932
CHRM4	10.732	0.517	0.202	2.555	0.011	0.029
CHRM5	1.822	0.1	0.118	0.844	0.399	
CHRNA1	0.416	0.061	0.055	1.108	0.268	
CHRNA10	28.354	-0.881	0.205	-4.306	0.0	0.0
CHRNA2	0.134	0.0	0.042	0.0	1.0	
CHRNA3	93.802	0.302	0.155	1.945	0.052	0.11
CHRNA4	23.858	0.485	0.208	2.332	0.02	0.049
CHRNA5	993.085	0.121	0.071	1.699	0.089	0.171
CHRNA6	2.384	-0.032	0.136	-0.236	0.813	
CHRNA7	45.907	-0.117	0.191	-0.614	0.539	0.67
CHRNA9	13.578	0.617	0.206	2.994	0.003	0.009
CHRNB1	357.58	0.023	0.096	0.245	0.807	0.875
CHRNB2	8.933	-0.222	0.196	-1.132	0.258	0.39
CHRNB3	0.08	0.0	0.042	0.0	1.0	
CHRNB4	15.191	0.213	0.206	1.035	0.301	0.438
CHRND	0.603	-0.076	0.073	-1.037	0.3	
CHRNE	6.909	0.191	0.188	1.016	0.309	0.447
CHRNG	0.191	0.011	0.046	0.245	0.806	
CHST1	30.794	0.623	0.204	3.048	0.002	0.008
CHST10	902.368	-0.303	0.07	-4.355	0.0	0.0
CHST11	576.985	0.497	0.082	6.093	0.0	0.0
CHST12	404.806	-0.092	0.092	-1.005	0.315	0.453
CHST13	19.973	0.326	0.208	1.57	0.116	0.212
CHST14	500.899	-0.118	0.088	-1.345	0.179	0.296
CHST15	721.885	0.093	0.073	1.281	0.2	0.323
CHST2	206.084	-0.025	0.115	-0.219	0.826	0.887
CHST3	610.071	0.175	0.081	2.156	0.031	0.072
CHST4	22.257	0.404	0.207	1.946	0.052	0.11
CHST5	7.135	-0.014	0.189	-0.072	0.943	0.966
CHST6	209.788	0.599	0.115	5.215	0.0	0.0
CHST7	83.666	0.603	0.163	3.705	0.0	0.001
CHST8	118.361	-0.039	0.142	-0.276	0.783	0.859
CHST9	83.712	0.409	0.158	2.585	0.01	0.027
CHST9-AS1	0.0					
CHSY1	1966.249	-0.078	0.056	-1.39	0.165	0.278
CHSY3	149.758	0.5	0.13	3.853	0.0	0.001
CHTF18	661.625	0.124	0.088	1.415	0.157	0.268
CHTF8	2273.91	-0.17	0.057	-2.96	0.003	0.01
CHTOP	4273.465	-0.134	0.052	-2.573	0.01	0.028
CHUK	1853.397	0.349	0.056	6.201	0.0	0.0
CHURC1	649.491	-0.204	0.076	-2.678	0.007	0.022
CHURC1-FNTB	3.611	0.228	0.149	1.533	0.125	0.224
CIAO1	4640.922	-0.196	0.045	-4.395	0.0	0.0
CIAPIN1	758.718	-0.17	0.073	-2.331	0.02	0.049
CIB1	784.739	0.086	0.082	1.039	0.299	0.436
CIB2	611.044	-0.201	0.081	-2.491	0.013	0.034
CIB3	1.211	0.149	0.099	1.511	0.131	
CIB4	0.0					
CIC	2288.828	-0.38	0.057	-6.657	0.0	0.0
CIDEA	0.191	0.01	0.042	0.226	0.821	
CIDEB	0.879	-0.014	0.083	-0.169	0.866	
CIDEC	1.174	-0.045	0.098	-0.464	0.643	
CIDECP	314.946	0.199	0.109	1.836	0.066	0.135
CIITA	0.111	-0.01	0.042	-0.246	0.806	
CILP	6.869	0.132	0.181	0.73	0.465	0.604
CILP2	130.906	0.37	0.136	2.719	0.007	0.019
CINP	584.698	-0.139	0.083	-1.682	0.092	0.176
CIR1	744.012	0.33	0.075	4.391	0.0	0.0
CIRBP	4779.437	0.138	0.047	2.931	0.003	0.011
CIRBP-AS1	41.261	-0.068	0.192	-0.356	0.722	0.814
CIRH1A	1411.213	0.138	0.068	2.019	0.044	0.096
CISD1	847.437	-0.144	0.069	-2.09	0.037	0.083
CISD2	1273.673	-0.075	0.062	-1.194	0.232	0.361
CISD3	481.044	-0.462	0.087	-5.296	0.0	0.0
CISH	92.297	0.18	0.158	1.145	0.252	0.384
CIT	2058.305	0.019	0.056	0.344	0.731	0.822
CITED1	105.268	0.356	0.157	2.268	0.023	0.057
CITED2	2143.511	0.19	0.06	3.143	0.002	0.006
CITED4	106.329	-0.013	0.152	-0.084	0.933	0.96
CIZ1	3036.274	-0.73	0.063	-11.586	0.0	0.0
CKAP2	4657.952	0.02	0.057	0.357	0.721	0.814
CKAP2L	2054.068	-0.153	0.057	-2.68	0.007	0.021
CKAP4	2409.831	0.331	0.055	6.0	0.0	0.0
CKAP5	10797.099	-0.028	0.04	-0.703	0.482	0.62
CKB	13239.329	0.268	0.068	3.951	0.0	0.0
CKLF	133.373	-0.038	0.139	-0.272	0.785	0.861
CKLF-CMTM1	0.0					
CKM	11.646	0.117	0.204	0.575	0.566	0.692
CKMT1A	70.634	0.45	0.17	2.647	0.008	0.023
CKMT1B	92.394	0.549	0.156	3.526	0.0	0.002
CKMT2	12.633	-0.036	0.204	-0.179	0.858	0.91
CKS1B	557.34	0.302	0.082	3.673	0.0	0.001
CKS2	1391.922	0.341	0.07	4.877	0.0	0.0
CLASP1	2325.87	0.042	0.059	0.703	0.482	0.62
CLASP2	3310.68	-0.05	0.053	-0.93	0.352	0.493
CLASRP	1527.24	0.14	0.071	1.989	0.047	0.101
CLC	0.318	0.018	0.057	0.312	0.755	
CLCA1	0.111	-0.01	0.042	-0.246	0.806	
CLCA2	1.991	-0.14	0.127	-1.101	0.271	
CLCA3P	1.411	0.065	0.107	0.612	0.54	
CLCA4	0.408	-0.067	0.062	-1.074	0.283	
CLCC1	1847.608	-0.014	0.056	-0.246	0.806	0.874
CLCF1	46.912	0.244	0.189	1.289	0.197	0.319
CLCN1	11.51	-0.114	0.204	-0.558	0.577	0.701
CLCN2	245.499	-0.068	0.12	-0.562	0.574	0.699
CLCN3	3185.557	-0.196	0.051	-3.859	0.0	0.001
CLCN4	647.049	0.387	0.075	5.162	0.0	0.0
CLCN5	803.608	0.105	0.072	1.457	0.145	0.252
CLCN6	837.025	-0.122	0.072	-1.691	0.091	0.174
CLCN7	1008.379	-0.306	0.067	-4.551	0.0	0.0
CLCNKA	4.037	0.152	0.157	0.966	0.334	0.475
CLCNKB	26.829	0.414	0.204	2.031	0.042	0.093
CLDN1	205.302	0.051	0.123	0.418	0.676	0.78
CLDN10	0.0					
CLDN11	3.889	0.005	0.159	0.032	0.975	0.985
CLDN12	1288.702	0.377	0.072	5.26	0.0	0.0
CLDN14	0.0					
CLDN15	747.015	-0.424	0.076	-5.549	0.0	0.0
CLDN16	0.0					
CLDN17	0.0					
CLDN18	0.191	-0.012	0.046	-0.267	0.789	
CLDN19	3.224	0.034	0.14	0.244	0.807	0.875
CLDN2	0.375	-0.001	0.06	-0.02	0.984	
CLDN20	0.134	0.0	0.042	0.0	1.0	
CLDN22	0.134	0.0	0.042	0.0	1.0	
CLDN23	30.053	0.191	0.2	0.958	0.338	0.479
CLDN24	0.0					
CLDN25	0.0					
CLDN3	9.762	0.145	0.199	0.73	0.465	0.604
CLDN4	9.208	0.394	0.193	2.038	0.042	0.092
CLDN5	0.0					
CLDN6	23.145	0.315	0.206	1.531	0.126	0.225
CLDN7	30.933	0.419	0.2	2.099	0.036	0.081
CLDN8	0.0					
CLDN9	8.476	0.387	0.192	2.017	0.044	0.096
CLDND1	3198.577	0.014	0.048	0.282	0.778	0.856
CLDND2	13.847	0.205	0.206	0.992	0.321	0.46
CLEC10A	0.112	0.009	0.042	0.226	0.821	
CLEC11A	142.345	0.379	0.136	2.79	0.005	0.016
CLEC12A	0.13	-0.01	0.042	-0.246	0.806	
CLEC12B	0.364	-0.019	0.056	-0.332	0.74	
CLEC14A	0.0					
CLEC16A	1046.864	-0.235	0.066	-3.54	0.0	0.002
CLEC17A	0.741	-0.038	0.081	-0.464	0.642	
CLEC18A	0.334	0.016	0.055	0.297	0.766	
CLEC18B	1.322	-0.054	0.102	-0.535	0.593	
CLEC18C	0.381	-0.022	0.061	-0.359	0.719	
CLEC19A	0.191	0.01	0.042	0.226	0.821	
CLEC1A	0.837	-0.029	0.086	-0.336	0.737	
CLEC1B	0.0					
CLEC2A	0.0					
CLEC2B	4.703	-0.16	0.169	-0.943	0.345	0.487
CLEC2D	1163.182	0.116	0.181	0.642	0.521	0.654
CLEC2L	0.0					
CLEC3A	0.0					
CLEC3B	4.701	0.14	0.171	0.816	0.414	0.556
CLEC4A	56.517	-0.041	0.182	-0.228	0.82	0.883
CLEC4C	3.748	0.175	0.157	1.113	0.266	0.399
CLEC4D	0.08	0.0	0.042	0.0	1.0	
CLEC4E	1.837	-0.108	0.121	-0.894	0.371	
CLEC4F	38.452	0.456	0.196	2.326	0.02	0.05
CLEC4G	0.08	0.0	0.042	0.0	1.0	
CLEC4GP1	0.0					
CLEC4M	0.334	-0.03	0.051	-0.589	0.556	
CLEC5A	0.191	0.01	0.042	0.226	0.821	
CLEC6A	0.13	-0.01	0.042	-0.246	0.806	
CLEC7A	0.353	-0.021	0.059	-0.352	0.725	
CLEC9A	0.271	-0.001	0.052	-0.012	0.99	
CLECL1	0.0					
CLGN	621.4	0.351	0.084	4.182	0.0	0.0
CLIC1	2524.192	0.06	0.059	1.017	0.309	0.447
CLIC2	7.999	-0.219	0.192	-1.144	0.253	0.384
CLIC3	0.647	0.117	0.071	1.653	0.098	
CLIC4	8900.452	0.112	0.052	2.16	0.031	0.072
CLIC5	154.02	0.356	0.13	2.743	0.006	0.018
CLIC6	1.007	0.031	0.093	0.338	0.735	
CLINT1	5702.984	-0.273	0.05	-5.503	0.0	0.0
CLIP1	1925.753	0.015	0.058	0.252	0.801	0.871
CLIP2	285.669	0.307	0.104	2.943	0.003	0.011
CLIP3	150.744	-0.005	0.136	-0.035	0.972	0.983
CLIP4	498.884	0.073	0.086	0.85	0.395	0.537
CLK1	3429.645	0.456	0.055	8.275	0.0	0.0
CLK2	1584.003	-0.062	0.066	-0.934	0.35	0.491
CLK2P	820.565	0.091	0.071	1.281	0.2	0.323
CLK3	1315.354	0.142	0.064	2.214	0.027	0.064
CLK4	849.257	0.051	0.073	0.699	0.484	0.622
CLLU1	0.0					
CLLU1OS	0.0					
CLMN	425.44	0.479	0.089	5.412	0.0	0.0
CLMP	211.863	0.356	0.119	2.995	0.003	0.009
CLN3	474.199	-0.317	0.096	-3.312	0.001	0.004
CLN5	1041.652	0.204	0.075	2.725	0.006	0.019
CLN6	1790.144	-0.647	0.068	-9.58	0.0	0.0
CLN8	635.788	0.157	0.076	2.063	0.039	0.088
CLNK	0.0					
CLNS1A	2326.984	0.178	0.053	3.382	0.001	0.003
CLOCK	792.299	-0.028	0.079	-0.359	0.72	0.812
CLP1	569.343	-0.205	0.084	-2.451	0.014	0.038
CLPB	1168.636	-0.324	0.062	-5.23	0.0	0.0
CLPP	1571.022	-0.168	0.07	-2.402	0.016	0.042
CLPS	0.0					
CLPSL1	0.891	0.014	0.086	0.164	0.87	
CLPSL2	14.413	0.377	0.206	1.828	0.068	0.137
CLPTM1	3078.5	-0.321	0.06	-5.333	0.0	0.0
CLPTM1L	4965.301	-0.306	0.052	-5.852	0.0	0.0
CLPX	1170.788	0.027	0.065	0.411	0.681	0.785
CLRN1	0.104	0.009	0.042	0.226	0.821	
CLRN1-AS1	0.325	-0.02	0.058	-0.342	0.732	
CLRN2	0.08	0.0	0.042	0.0	1.0	
CLRN3	0.112	0.009	0.042	0.226	0.821	
CLSPN	3119.37	-0.06	0.055	-1.1	0.271	0.405
CLSTN1	4227.252	-0.046	0.055	-0.832	0.405	0.547
CLSTN2	123.318	-0.1	0.151	-0.663	0.507	0.642
CLSTN3	1324.236	0.119	0.062	1.904	0.057	0.119
CLTA	1664.642	-0.212	0.057	-3.733	0.0	0.001
CLTB	1111.81	-0.115	0.071	-1.609	0.108	0.199
CLTC	16653.53	0.013	0.045	0.293	0.769	0.85
CLTCL1	576.522	0.157	0.081	1.942	0.052	0.111
